1231000,61,60,56
1231001,58,57,57
1231002,60,57,56
1231003,57,64,56
1231004,59,55,63
1231005,59,57,60
1231006,58,58,60
1231007,54,59,56
1231008,59,61,54
1231009,61,60,54
1231010,59,60,56
1231011,57,56,58
1231012,62,65,57
1231013,59,63,64
1231014,60,60,71
1231015,56,63,49
1231016,64,56,58
1231017,60,61,65
1231018,61,57,66
1231019,63,58,57
1231020,62,64,59
1231021,56,55,58
1231022,60,61,63
1231023,54,62,53
1231024,58,52,64
1231025,59,58,58
1231026,60,65,64
1231027,57,66,67
1231028,63,57,71
1231029,57,57,56
1231030,58,64,55
1231031,61,64,62
1231032,58,55,60
1231033,62,61,57
1231034,58,54,67
1231035,56,64,63
1231036,56,67,64
1231037,57,64,53
1231038,53,67,52
1231039,56,57,61
1231040,58,56,60
1231041,60,58,58
1231042,58,58,61
1231043,61,63,65
1231044,59,67,60
1231045,61,57,58
1231046,60,55,55
1231047,61,68,65
1231048,61,64,60
1231049,58,63,48
1231050,60,63,67
1231051,60,67,53
1231052,57,48,51
1231053,63,61,65
1231054,66,58,58
1231055,60,62,54
1231056,58,59,58
1231057,60,68,55
1231058,54,59,62
1231059,58,55,54
1231060,59,64,69
1231061,57,61,57
1231062,56,57,57
1231063,57,56,59
1231064,63,56,64
1231065,54,56,69
1231066,58,58,61
1231067,57,66,62
1231068,57,63,62
1231069,62,62,53
1231070,56,62,60
1231071,59,61,49
1231072,63,53,61
1231073,56,60,62
1231074,56,61,56
1231075,61,63,55
1231076,61,62,58
1231077,59,58,51
1231078,57,59,56
1231079,63,62,54
1231080,60,58,59
1231081,61,55,68
1231082,59,55,60
1231083,61,60,54
1231084,63,53,62
1231085,59,59,65
1231086,60,60,63
1231087,59,67,70
1231088,65,61,65
1231089,63,61,62
1231090,61,63,58
1231091,59,66,50
1231092,64,59,70
1231093,61,61,52
1231094,51,55,57
1231095,62,61,60
1231096,60,66,62
1231097,60,68,61
1231098,56,58,55
1231099,62,61,58
1231100,65,57,54
1231101,63,60,54
1231102,62,61,58
1231103,59,55,62
1231104,58,60,63
1231105,59,67,68
1231106,64,66,54
1231107,61,65,62
1231108,55,60,60
1231109,58,55,55
1231110,63,62,56
1231111,57,53,58
1231112,52,62,63
1231113,58,57,62
1231114,61,61,63
1231115,58,63,65
1231116,59,58,63
1231117,58,53,66
1231118,62,58,59
1231119,61,61,59
1231120,61,58,56
1231121,54,65,63
1231122,59,59,59
1231123,59,60,61
1231124,62,60,57
1231125,58,68,50
1231126,56,59,63
1231127,56,60,57
1231128,50,63,64
1231129,60,52,54
1231130,56,65,56
1231131,58,61,55
1231132,56,60,71
1231133,62,64,61
1231134,58,60,56
1231135,61,55,57
1231136,63,64,62
1231137,61,64,66
1231138,59,63,55
1231139,61,67,56
1231140,63,60,61
1231141,58,56,59
1231142,58,66,62
1231143,63,53,57
1231144,59,57,58
1231145,62,61,58
1231146,58,56,58
1231147,57,56,59
1231148,57,57,63
1231149,61,59,53
1231150,56,55,56
1231151,58,53,53
1231152,60,53,57
1231153,63,59,61
1231154,60,58,57
1231155,62,60,63
1231156,57,54,64
1231157,59,70,64
1231158,62,59,57
1231159,62,56,62
1231160,61,60,55
1231161,61,61,58
1231162,57,56,57
1231163,59,63,58
1231164,59,70,69
1231165,62,55,59
1231166,56,52,52
1231167,57,60,56
1231168,64,59,60
1231169,62,61,65
1231170,54,53,66
1231171,63,58,58
1231172,58,61,61
1231173,54,59,55
1231174,61,60,57
1231175,61,59,66
1231176,61,58,60
1231177,66,60,64
1231178,61,58,56
1231179,55,50,53
1231180,59,61,58
1231181,58,59,67
1231182,61,57,60
1231183,60,54,63
1231184,60,59,65
1231185,55,58,64
1231186,56,54,62
1231187,58,62,58
1231188,60,67,65
1231189,61,56,59
1231190,59,59,65
1231191,61,61,61
1231192,58,60,57
1231193,64,55,59
1231194,59,60,59
1231195,57,62,59
1231196,65,52,57
1231197,58,63,62
